#2031 - Tarki

#owner = GAZ		#5s-minors-mod
#controller = GAZ	#5s-minors-mod
owner = AVR			#5s-minors-mod
controller = AVR	#5s-minors-mod
add_core = AVR		#5s-minors-mod
culture = dagestani
religion = sunni
capital = "Tarku"
trade_goods = fish
hre = no
base_tax = 2 
base_production = 2
base_manpower = 3
is_city = yes
#add_core = GAZ		#5s-minors-mod



discovered_by = muslim
discovered_by = ottoman
discovered_by = eastern
discovered_by = western
discovered_by = nomad_group


1801.1.18 = {
	owner = RUS
	controller = RUS
	add_core = RUS
} # Annexed by Russia
