#2315 - Suez

#owner = MAM		#5s-minors-mod
#controller = MAM	#5s-minors-mod
owner = CAR			#5s-minors-mod
controller = CAR	#5s-minors-mod
add_core = CAR		#5s-minors-mod
culture = al_misr_arabic
religion = sunni
capital = "Suweis"
trade_goods = livestock
hre = no
base_tax = 2 
base_production = 2
base_manpower = 1
is_city = yes
#add_core = MAM		#5s-minors-mod
discovered_by = muslim
discovered_by = ottoman
discovered_by = western
discovered_by = eastern
discovered_by = nomad_group
discovered_by = indian
discovered_by = east_african


1521.1.1 = {
	owner = TUR
	controller = TUR
	add_core = TUR
} # Conquered by the Ottomans
