# - Hodna

#owner = TUN		#5s-minors-mod
#controller = TUN	#5s-minors-mod
owner = KBA			#5s-minors-mod
controller = KBA	#5s-minors-mod
add_core = KBA		#5s-minors-mod
culture = algerian
religion = sunni
capital = "Msila"
trade_goods = salt
hre = no
base_tax = 1 
base_production = 1
base_manpower = 1
is_city = yes
#add_core = TUN		#5s-minors-mod
#add_core = KBA		#5s-minors-mod



discovered_by = muslim
discovered_by = ottoman
discovered_by = western


1521.1.1 = {
	owner = ALG
	controller = ALG
	add_core = ALG
}
