#2695 - East Timor

owner = CRB				#5s-minors-mod
controller = CRB		#5s-minors-mod
add_core = CRB 			#5s-minors-mod
culture = javanese		# ???
religion = animism
capital = "Timor"
trade_goods = spices	#5s-minors-mod
hre = no
base_tax = 3
base_production = 3
base_manpower = 3
#native_size = 10			#5s-minors-mod
#native_ferocity = 1		#5s-minors-mod
#native_hostileness = 2		#5s-minors-mod
is_city = yes				#5s-minors-mod

discovered_by = chinese
#discovered_by = ATJ		# ???
#discovered_by = MAJ
#discovered_by = MKS
#discovered_by = BLI
#discovered_by = BAN
#discovered_by = BEI
#discovered_by = BLM
#discovered_by = BTN
#discovered_by = CRB
#discovered_by = DMK
#discovered_by = PGR
#discovered_by = PLB
#discovered_by = PSA
#discovered_by = SAK
#discovered_by = SUN
#discovered_by = KUT
#discovered_by = BNJ
#discovered_by = LFA
#discovered_by = LNO
#discovered_by = LUW
#discovered_by = MGD
#discovered_by = TER
#discovered_by = TID

1512.1.1 = { discovered_by = POR }

1556.1.1 = {
	owner = POR
	controller = POR
	add_core = POR
	culture = portugese
	is_city = yes
	trade_goods = spices
}
