#592 - Ratchaburi

#owner = AYU		#5s-minors-mod
#controller = AYU	#5s-minors-mod
owner = LIG			#5s-minors-mod
controller = LIG	#5s-minors-mod
add_core = LIG		#5s-minors-mod
culture = central_thai
religion = buddhism
capital = "Ratchaburi"
trade_goods = grain
hre = no
base_tax = 3 
base_production = 3
base_manpower = 3
is_city = yes
#add_core = AYU		#5s-minors-mod



discovered_by = chinese
discovered_by = indian
discovered_by = muslim
discovered_by = ottoman

1535.1.1 = { discovered_by = POR }

